spot,maturity,atm_iv,a,b,rho,m,sigma,true_sigma
101.35708464880479,0.7072245579994899,0.25707758419661,0.0005730309888626426,0.22699409947013416,-0.35518619172076343,0.08319700655434793,0.1637163845481061,0.118065849020572
188.97509245424658,1.682848522556125,0.20167453787332346,0.002060708043715546,0.065287313540288,-0.3326192767542923,0.45959229601803187,0.8163912919829535,0.16585347550327176
195.18375337192592,0.058185703237550956,0.533868808661917,0.007505606591373001,0.18454635766284672,-0.6212020250436261,-0.009602792447665627,0.05475586413505048,0.051456814924647085
275.699525708021,0.21376444183005883,0.2581004053593345,0.004147719692963374,0.11316513873687992,-0.8269666822244967,-0.09705383789413856,0.10429971422507134,0.08137582255955574
382.57534205303995,1.735365756619572,0.18924753244367729,0.0785931760105275,0.1602485491598204,-0.24430933197737437,0.013619715294535758,0.0001,0.17717226283938506
378.25295314393765,1.5506479017095853,0.18444516388322135,0.06070944694710139,0.1271508745722416,-0.568670170223762,0.013774436518628867,0.0001,0.1808219936112475
465.73895325260196,0.07985776160404813,0.46648350658310567,0.009907447000102182,0.09903322217847577,-0.692438241229891,0.013756663777512626,0.07181206700985708,0.06264738426861109
361.1841470809471,1.8937795981223517,0.19213027107878053,0.058568229018875054,0.09592961563166749,-0.27886159375122216,0.06902679372822466,0.0001,0.1990331325033443
119.51447506713009,0.940752392600191,0.20282161362312146,0.003753355207952758,0.18030044503381296,-0.40169118828336287,-0.07772640862507005,0.23516362492396722,0.14375818249138467
293.2176776750498,1.124917425518549,0.1899076357576019,0.03036590253586096,0.07961550413856741,0.20541732051379918,0.09653604515334373,0.0001,0.12085506218127957
446.70141930353475,0.428304419167482,0.33063052747473026,0.02707653816552057,0.16506512507010962,-0.8407999923510235,0.07811651136809995,0.0001,0.08066116221876111
472.2831851460999,1.0619340880551424,0.23372131617581826,0.017130449092742472,0.35100687996942875,-0.5677676447892851,-0.07906883520054377,0.09710944860556295,0.13243238371377314
146.04665353605554,1.4665775282235691,0.2181015536109746,0.0001,0.3766912304836811,-0.6760308583720533,-0.19876304905974035,0.21735364665324036,0.15723443140360258
209.62188252174752,0.2947272598297324,0.2511387982203551,0.01041078021043333,0.1270927507475513,-0.7626539561221359,0.031500647456077495,0.0001,0.060942351073919834
68.96984920644289,0.7190113559741004,0.20778347560440602,0.01802590330396109,0.2507886951626878,-0.580044223385426,-0.016363469292362574,0.08560798880362853,0.10935516571942146
352.22460906447867,0.623199062760186,0.2391458437705086,0.0001,0.2074148697536825,-0.24019533688087638,0.07679806990134577,0.13971549814803513,0.10292023434837551
361.5655576901237,1.9347788377916313,0.1563356770966589,0.05091128450142691,0.15122543055495605,-0.09068145789737504,0.0008361928209542815,0.0001,0.17299539762352367
334.43295647523865,1.3567209183946016,0.24989230947104998,0.0001,0.3369364568582965,-0.5523751347958132,-0.1927805307481477,0.24175712626812987,0.1574419510044434
316.818547541756,0.8582761023364242,0.20552537480737634,0.02689213984863584,0.08354305798623542,-0.3140192926144186,-0.04152285585403444,0.0001,0.11150792875362797
457.16356396088656,1.668564258921835,0.17377140800645313,0.0001,0.30522931243955603,-0.12339504604705358,0.10413070157350574,0.18884804238284483,0.1622937664729137
173.13690455537602,1.1007962658553447,0.22647055348733042,0.03729467984633753,0.22059304069847635,-0.9539843385486461,-0.01564207656738858,0.07626149695386089,0.13662527341976324
326.7211556254649,1.2930902989702415,0.16964036566637852,0.036081754932916814,0.10427683370524203,-0.37245599115137257,0.04127573775598608,0.0001,0.1524009913714209
93.78343435763378,0.34093329643007925,0.1255603897963494,0.004011484801801594,0.16156956667217234,-0.9435704061544667,-0.0740711250608503,0.0367868596411573,0.039084828787390925
491.51240385771973,0.4442552449070407,0.2720715288662037,0.004582062666092038,0.15607631701398691,-0.5795955587784833,0.0839693714946564,0.08873113724370212,0.0691514150632885
230.52900597993062,1.3348486768135974,0.21673383955172554,0.038073101725396616,0.1470445545862966,0.05117049385902472,0.12410123925574654,0.0001,0.14064116585511388
205.53397048466368,1.2297036444087146,0.2062326647025028,0.015665521637985937,0.20784820065508133,-0.4520579504267783,-0.017011270624472878,0.179706106920286,0.1391178848088919
390.0737548685887,1.0936849236513217,0.23084033638096735,0.005055243138057733,0.31633717073109224,-0.31955114382458766,-0.10222050280832931,0.16852104817850802,0.14892202917416242
84.36169319707697,0.0838059092020492,0.4116492891954623,0.007029788094019523,0.2036809204470947,-0.6286062810637172,0.002642683331988431,0.044320730003612106,0.04909373409687301
194.65841717266144,1.121766257268534,0.29133018655351384,0.0001,0.3309299591447114,-0.22742491447408575,0.051868250347717484,0.19680011452753668,0.12582604650906346
117.70128038541597,0.8430358946012567,0.24227927460308132,0.004332316800520327,0.3070895119502593,-0.2732292629091839,-0.009916583341362197,0.15069692417168615,0.106302837726757
467.1161652852886,1.9558249304362618,0.17210346875339458,0.05678995767458709,0.1659140823615715,0.4616133747883562,0.09645753742016677,0.0001,0.195331380843869
236.4480565872584,0.7182318016790739,0.2324672991064905,0.0001,0.29958206269215726,-0.5058054085792236,0.013698559773993263,0.1468421686540949,0.10353075849239801
286.8142571554196,1.986343369034905,0.20042305762551563,0.0710840115450032,0.1297323703711577,-0.5579977637213374,-0.12414644478537232,0.0001,0.1879555827388666
275.0528924488466,0.11938760937650117,0.37352565809206967,0.007120143631067941,0.1708745855961378,-0.6244812718593052,-0.08418599677506962,0.08014876325961535,0.06388285262037321
62.2758235234035,1.5124536819435295,0.22604615517415141,0.0296334850204097,0.24231544523199797,-0.40053242179108567,-0.07386539220522835,0.18080031927462106,0.18214598313392022
80.52478917718904,1.1070355750603675,0.17574616951657787,0.012376449987042846,0.14944238683569586,-0.39877052880352276,-0.03248978114180561,0.1865032278726545,0.12902860255425783
75.14576396492609,1.9116686610805917,0.16977486643167983,0.05126764048514699,0.11506261801841244,-0.3909733477703898,0.03286272170176166,0.0001,0.20180767625469057
228.85879058291667,0.4791789673876876,0.24607147922731643,0.0034295482024095697,0.24918792671051085,-0.5859920448709239,-0.07026701977360922,0.09937967925071493,0.09020868633272806
178.8293667842926,0.7662178860412177,0.3011655819900605,0.0001,0.33505450750553467,-0.17978506624575427,0.1387330715174514,0.13118958310176992,0.10927409017286524
115.61187269906988,1.5871959891004137,0.22738669931151778,0.0001,0.39701843899708383,-0.6128168816791769,-0.1258333461442887,0.24982907876372654,0.15878400238985577
269.45684580082263,1.7928751583664417,0.1760754708077664,0.055197777744698605,0.1399476098675697,-0.2168229355441342,0.039119854277380704,0.0001,0.1870146392772733
363.0028242047648,1.5203970276140784,0.2126356650780034,0.0326301168285339,0.2469338288359604,-0.5266156102525069,-0.05994576830737624,0.13124505848367007,0.1605655212107195
448.602765826655,0.4245822973314854,0.2961907493898506,0.020584867938053416,0.14910897513957674,-0.22787689848174608,0.05608173025068286,0.0001,0.0817355003704576
